page	start	end	notes
134	ⲙⲁ	ⲙⲁ	
135	ⲙⲁ	ⲙⲁ	
136	ⲙⲁ	ⲙⲁⲓϣⲉⲙⲙⲟ	
137	ⲙⲁⲓϩⲟⲩⲓⲧ	ⲙⲁⲛϭⲁⲗⲉ	
138	ⲙⲁⲛϯ	ⲙⲁⲥⲓ	
139	ⲙⲁⲥⲡⲟⲣⲕ	ⲙⲁϣⲉⲛⲁⲕ	
140	ⲙⲁϣⲉⲣⲧ	ⲙⲁϩ	
141	ⲙⲁϩ	ⲙⲁϯ	
142	ⲙⲃⲁⲓ	ⲙⲉⲑⲙⲏⲓ	
143	ⲙⲉⲑⲛⲟⲩϫ	ⲙⲉⲓ	
144	ⲙⲉⲕⲙⲉⲕ	ⲙⲉⲛⲣⲉ	
145	ⲙⲉⲛⲧ	ⲙⲉⲥⲓⲱϯ	
146	ⲙⲉⲥⲓⲱϯ	ⲙⲉⲩⲓ	
147	ⲙⲉⲩⲓ	ⲙⲉⲩⲓ	
148	ⲙⲉϣ	ⲙⲉϣϣⲉ	
149	ⲙⲉϣϣⲱⲧ	ⲙⲏ	
150	ⲙⲏ	ⲙⲏⲓⲛⲓ	
151	ⲙⲏⲓⲣⲓ	ⲙⲏⲣ	
152	ⲙⲏⲣⲁⲛ	ⲙⲏϣ	
153	ⲙⲏϣⲧⲉ	ⲙⲓⲁⲕⲏⲥ	
154	ⲙⲓⲉ	ⲙⲓⲟ	
155	ⲙⲓⲟⲗⲱⲛ	ⲙⲓⲧⲱⲟⲩⲓ	
156	ⲙⲓⲱ	ⲙⲕⲁϩ	
157	ⲙⲕⲁϩ	ⲙⲗⲁϧ	
158	ⲙⲗϩ	ⲙⲙⲁⲩⲁⲧ	
159	ⲙⲙⲁϩ	ⲙⲙⲟⲛ	
160	ⲙⲙⲟⲛ	ⲙⲙⲟⲛ	
161	ⲙⲙⲟⲛ	ⲙⲟ	
162	ⲙⲟⲉⲓⲧ	ⲙⲟⲕⲙⲉⲕ	
163	ⲙⲟⲕϩ	ⲙⲟⲗϩ	
164	ⲙⲟⲗϩ	ⲙⲟⲛⲓ	
165	ⲙⲟⲛⲕ	ⲙⲟⲥⲕ	
166	ⲙⲟⲥⲛⲉ	ⲙⲟⲧⲛⲉⲥ	
167	ⲙⲟⲧⲣⲁ	ⲙⲟⲩ	
168	ⲙⲟⲩ	ⲙⲟⲩⲗϫ	
169	ⲙⲟⲩⲗϫ	ⲙⲟⲩⲛⲕ	
170	ⲙⲟⲩⲛⲕ	ⲙⲟⲩⲣ	
171	ⲙⲟⲩⲣ	ⲙⲟⲩⲣ	
172	ⲙⲟⲩⲣ	ⲙⲟⲩϣⲧ	
173	ⲙⲟⲩϣⲧ	ⲙⲟⲩϫⲧ	
174	ⲙⲟⲩϫϧ	ⲙⲟⲩϯ	
175	ⲙⲟⲩϯ	ⲙⲟϣⲓ	
176	ⲙⲟϣⲓ	ⲙⲟϣⲓ	
177	ⲙⲟϣⲓ	ⲙⲟϩ	
178	ⲙⲟϩ	ⲙⲟϩ	
179	ⲙⲟϩ	ⲙⲟϯ	
180	ⲙⲡⲁⲓ	ⲙⲡⲉⲣ	
181	ⲙⲡⲟ	ⲙⲡϣⲁ	
182	ⲙⲡϣⲁ	ⲙⲣⲱⲙ	
183	ⲙⲣⲱϣⲧ	ⲙⲧⲟⲛ	
184	ⲙⲧⲟⲛ	ⲙⲫⲏ	
185	ⲙⲫⲏ	ⲙⲱⲓⲧ	
186	ⲙⲱⲓⲧ	ⲙⲱⲟⲩ	
187	ⲙⲱⲟⲩ	ⲙⲱⲟⲩⲧ	
188	ⲙⲱϫⲉⲛ	ⲙϫⲱⲗ	
189	ⲛ	ⲛ	
190	ⲛ	ⲛⲁ	
191	ⲛⲁ	ⲛⲁⲏⲧ	
192	ⲛⲁⲓ	ⲛⲁⲓ	
193	ⲛⲁⲓⲁⲧ	ⲛⲁⲛⲉ	
194	ⲛⲁⲡⲁⲓ	ⲛⲁⲩ	
195	ⲛⲁⲩ	ⲛⲁⲩ	
196	ⲛⲁⲩ	ⲛⲁϣⲧ	
197	ⲛⲁϣϯ	ⲛⲁϩⲃⲓ	
198	ⲛⲁϩⲃⲓ	ⲛⲁϩϯ	
199	ⲛⲁϫⲡ	ⲛⲉⲙ	
200	ⲛⲉⲙ	ⲛⲉⲙ	
201	ⲛⲉⲙⲁⲛ	ⲛⲉϣⲡ	
202	ⲛⲉϣⲧⲉ	ⲛⲉϩ	
203	ⲛⲉϩ	ⲛⲉϩⲥⲓ	
204	ⲛⲉϩⲥⲓ	ⲛⲉϫ	
205	ⲛⲉϫⲓ	ⲛⲏⲉ	
206	ⲛⲏⲓ	ⲛⲏⲟⲩ	
207	ⲛⲏⲟⲩ	ⲛⲏϩ	
208	ⲛⲏϫ	ⲛⲑⲟϥ	
209	ⲛⲑⲱⲟⲩ	ⲛⲓϣϯ	
210	ⲛⲓϣϯ	ⲛⲓϥⲓ	
211	ⲛⲓϥⲓ	ⲛⲕⲟⲧ	
212	ⲛⲛⲉ	ⲛⲟⲕⲛⲉⲕ	
213	ⲛⲟⲙ	ⲛⲟⲧϥ	
214	ⲛⲟⲩ	ⲛⲟⲩⲛⲓ	
215	ⲛⲟⲩⲛⲓ	ⲛⲟⲩϣⲡ	
216	ⲛⲟⲩϣⲡ	ⲛⲟⲩϥⲓ	
217	ⲛⲟⲩϥⲣ	ⲛⲟⲩϫ	
218	ⲛⲟⲩϫ	ⲛⲟⲩϫ	
219	ⲛⲟⲩϫϧ	ⲛⲟⲩϯ	
220	ⲛⲟⲩϯ	ⲛⲟϥⲣⲓ	
221	ⲛⲟϥⲧ	ⲛⲟϩⲉⲙ	
222	ⲛⲟϩⲉⲙ	ⲛⲟϫ	
223	ⲛⲟϫⲛⲉϫ	ⲛⲥⲁ	
224	ⲛⲥⲁ	ⲛⲧⲉ	
225	ⲛⲧⲉ	ⲛⲧⲉⲛ	
226	ⲛⲧⲉⲣⲉ	ⲛⲱⲓⲛⲓ	
227	ⲛⲱⲓⲧ	ⲛϧⲣⲏⲓ	
228	ⲛϩⲉⲧ	ⲝⲟⲩⲣ	
229	ⲟ	ⲟⲑⲉ	
230	ⲟⲓ	ⲟⲙⲓ	
231	ⲟⲙⲕ	ⲟⲛ	
232	ⲟⲛⲓ	ⲟⲟⲧ	
233	ⲟⲟⲧⲉ	ⲟⲣϥ	
234	ⲟⲣϥ	ⲟⲥⲕ	
235	ⲟⲥϧ	ⲟϣⲉⲙ	
236	ⲟϣⲙⲉϥ	ⲟϩⲓ	
237	ⲟϩⲓ	ⲟϩⲓ	
238	ⲟϩⲓ	ⲟϯ	
239	ⲟⲩ	ⲟⲩ	
240	ⲟⲩⲁ	ⲟⲩⲁⲓ	
241	ⲟⲩⲁⲓ	ⲟⲩⲁⲧ	
242	ⲟⲩⲁⲧⲃⲉ	ⲟⲩⲁϩ	
243	ⲟⲩⲁϩ	ⲟⲩⲁϩⲥⲁϩⲛⲓ	
244	ⲟⲩⲁϩⲥⲟⲓ	ⲟⲩⲃⲉ	
245	ⲟⲩⲇⲉ	ⲟⲩⲉⲓ	
246	ⲟⲩⲉⲓⲛ	ⲟⲩⲉⲛⲅ	
247	ⲟⲩⲉⲛⲧ	ⲟⲩⲉⲧ	
248	ⲟⲩⲉⲧⲉ	ⲟⲩⲉϩ	
249	ⲟⲩⲉϩ	ⲟⲩⲉϫⲣⲟ	
250	ⲟⲩⲉϫⲟⲩⲱϫ	ⲟⲩⲏⲟⲩⲧ	
251	ⲟⲩⲏⲣ	ⲟⲩⲓ	
252	ⲟⲩⲓⲏ	ⲟⲩⲛⲟⲩ	
253	ⲟⲩⲛⲟϥ	ⲟⲩⲟⲉⲓϣ	
254	ⲟⲩⲟⲉⲓϣ	ⲟⲩⲟⲓ	
255	ⲟⲩⲟⲓ	ⲟⲩⲟⲗⲥ	
256	ⲟⲩⲟⲙ	ⲟⲩⲟⲛ	
257	ⲟⲩⲟⲛ	ⲟⲩⲟⲛ	
258	ⲟⲩⲟⲛⲧ	ⲟⲩⲟⲥⲑⲉⲛ	
259	ⲟⲩⲟⲥϥ	ⲟⲩⲟⲧϩ	
260	ⲟⲩⲟϣⲃ	ⲟⲩⲟϩ	
261	ⲟⲩⲟϩ	ⲟⲩⲟϫⲓ	
262	ⲟⲩⲟϫⲓ	ⲟⲩⲣⲓⲧ	
263	ⲟⲩⲣⲟ	ⲟⲩⲧⲁϩ	
264	ⲟⲩⲧⲉ	ⲟⲩⲱ	
265	ⲟⲩⲱ	ⲟⲩⲱ	
266	ⲟⲩⲱ	ⲟⲩⲱⲓⲛⲓ	
267	ⲟⲩⲱⲓⲛⲓ	ⲟⲩⲱⲗⲥ	
268	ⲟⲩⲱⲙ	ⲟⲩⲱⲙ	
269	ⲟⲩⲱⲙ	ⲟⲩⲱⲛ	
270	ⲟⲩⲱⲛ	ⲟⲩⲱⲛϩ	
271	ⲟⲩⲱⲛϩ	ⲟⲩⲱⲣⲡ	
272	ⲟⲩⲱⲣϩ	ⲟⲩⲱⲥϥ	
273	ⲟⲩⲱⲧ	ⲟⲩⲱⲧⲉⲃ	
274	ⲟⲩⲱⲧⲉⲃ	ⲟⲩⲱⲧⲉⲃ	
