ⲁⲗⲁⲛⲟⲛ	(Gk); A type of plant.
ⲁⲗⲁⲡⲗⲉⲡ , ⲁⲗⲁⲃⲗⲉⲃ	"(671a); (vi.) To be
   weary, despondent;
   ---: (m.) Weariness, distress."
ⲁⲗⲁⲥⲱϯ	(6a); (pl.) Armies.
ⲁⲗⲁⲭⲓⲥⲧⲟⲥ	"(Gk); (adj.) Smallest, least;
   poor miserable."
ⲁⲗⲉⲕⲧⲟⲣ (v.) ⲁⲗⲉⲕⲧⲣⲩⲱⲛ	Cock.
ⲁⲗⲉⲕⲧⲣⲩⲟⲛⲟⲥ (v.) ⲁⲗⲉⲕⲧⲣⲩⲱⲛ	Cock.
ⲁⲗⲉⲕⲧⲣⲩⲱⲛ , –ⲧⲣⲩⲟⲛⲟⲥ , –ⲧⲱⲣ , –ⲧⲟⲣ	(Gk); nn (mf.) Cock, hen.
ⲁⲗⲉⲕⲧⲱ r (v.) ⲁⲗⲉⲕⲧⲣⲩⲱⲛ	Cock.
ⲁⲗⲉⲝⲁⲛⲁⲣⲓⲛⲟⲥ	"(Gk); (m.) Native of
   alexandria."
ⲁⲗⲏⲑⲓⲛⲟⲛ (v.) ⲁⲗⲏⲑⲓⲛⲟⲥ	True.
ⲁⲗⲏⲑⲓⲛⲟⲥ , -on	"(Gk); (adj.) Real,
   trustworthy, true."
ⲁⲗⲏⲑⲟⲥ = ⲁⲗⲏⲑⲱⲥ	Truly.
ⲁⲗⲏⲑⲱⲥ	"(Gk); (adv.) Truely, actually, in
   reality."
ⲁⲗⲏⲓ	"(4a); imperat of ⲁⲗⲓ⸗ ; (vi.) To mount, go up, go on, go on board;
   --- ⲉϩⲣⲏⲓ : (vi.) To mount up, ascend in
   years;
   --- ⲉϫⲉⲛ– : (vi.) To ascend, go up;
   --- ⲉϧⲣⲏⲓ ⲉϫⲉⲛ– : (vi.) To descend upon."
ⲁⲗⲑⲓⲗⲓⲁ	(Gk); (m.) A type of gum.
ⲁⲗⲓ (v.) ⲱⲗⲓ	Hold.
ⲁⲗⲓ	(4b); (m.) Fenugreek.
ⲁⲗⲓⲅⲱⲛ	(Gk?); (m.) A kind of candy or sweets.
ⲁⲗⲓⲗ , ⲁⲗⲓⲗⲓ	(6a); (m.) Field mouse.
ⲁⲗⲓⲗⲓ (v.) ⲁⲗⲓⲗ	Field mouse.
ⲁⲗⲓⲑⲓⲛⲟⲛ = ⲁⲗⲏⲑⲓⲛⲟⲥ	True.
ⲁⲗⲓⲧ⸗ (v.) ⲱⲗⲓ	Hold.
ⲁⲗⲓⲟⲩⲓ (v.) ⲱⲗⲓ	Hold.
ⲁⲗⲓϫⲓ	(6b); (m.) Fuller's earth.
ⲁⲗⲕⲉ , ⲁⲗⲕⲏ	"(5b); (m.) Last day of the
   month."
ⲁⲗⲕⲏ (v.) ⲁⲕⲗⲏ	A pottery vessel.
ⲁⲗⲕⲏ (v.) ⲁⲗⲕⲉ	Last day of the month.
ⲁⲗⲕⲟⲡⲣⲟⲥ	"(Gk?); (m.) A brittle metal used
   in making red ink."
ⲁⲗⲕⲟⲩ	(5b); (f.) Flask.
ⲁⲗⲕⲟⲩ (v.) ⲉⲗⲕⲟⲩ	Fruit of sycamore tree.
ⲁⲗⲗⲁ	"(Gk); (conj.) But;
   ⲁⲗⲗⲁⲕⲁⲓ : But also."
ⲁⲗⲗⲉⲛⲟⲥ	"(Gk?); (m.) A certain kind of
   trees."
ⲁⲗⲗⲏⲅⲟⲣⲓⲁ	(Gk); (f.) Allegory.
ⲁⲗⲗⲏⲗⲟⲩⲓⲁ	"(heb); Hallelujah, praise
   God."
