key	word	type	en	crum	quality	added	updated	created_by	updated_by	dawoud-pages	notes	senses	override-type	crum-last-page	sisters	antonyms	homonyms	greek-sisters	categories	TODO
24	(S,sA,B) talGo (A,sA) tlGo (F) telGa,TilJa (S,A,B) talGe- (S,B) talGo= (Sa) t$^e^$lko= (A,sA) tlGa= (sA) talGa= (S) talGhu+	2	{intr:} make to cease, heal (/*causative of [laGe]*/) /$gk: [[iasqai, qerapeuein]]$/	411b	8	2009-09-14	2010-07-23	vagrant	vagrant	433a-433b		{"1": "heal", "2": "cease"}			1026; 234; 501					
25	(S,B,F) eneH (S) eneHe,enhHe (A,sA) anhHe	1	(nn m) |$ eternity /$gk: [[aiwn]]$/ |$ age, (period of time) /$gk: [[aiwn]]$/ | (with [Sa-]) /$gk: [[aiwnios]]$/ | (adj), eternal /$gk: [[aiwnios]]$/ |$ (with [nSa-]) /$gk: [[aiwnios]]$/ |$ (with [Sa-]) /$gk: [[aiwnios]]$/ | (adv), for ever, eternally, ever |$ (in interrog clause) /$gk: [[pote]]$/ |$ (with neg vb) /$gk: [[pote, oudepote]]$/ |$ (with [Sa-, nSa-]) |$ (with [Jin-, isJen-]) |$ (as nn)	57a	9	2009-09-14	2010-09-26	vagrant	vagrant	37b		{"1": "eternity", "2": "age, period of time"}			492				time	
26	(S,A,sA) mise (B,F) misi (O) mesie (S,B) mas- (S,A,B,F) mes- (S) mest- (S,A) mast=,mest= (S,B) mas= (O) mist= (S) mose+ (B) mosi+ (S,A,B,F) ^mas- (S,A,F) ^mes-	2	{intr:} bear, bring forth /$gk: [[tiktein, gennan]]$/ | {tr:} bear young | {qual:} be newly delivered, give suck	184b	6	2009-09-14	2010-02-04	vagrant	vagrant	155a-155b,138b,138b,138b,145b,145b,145b-146a,146a,146a,165b,152a,152a-152b,356b,60b		{"1": "bear, bring forth"}			6; 375; 1278; 607; 682; 2742; 1548; 880; 712; 2303; 693; 678; 1898					
27	(S,A,sA,F) Gwlp (S,F) kwlp (B) Gwrp (S) G$^e^$lp-,Golp=,kolp= (sA) Galp= (B) Gorp= (S,F) Golp+,kolp+ (Sa,A,sA,F) Galp+ (B) Gorp+ (S) ^Galp-	2	{tr:} uncover, open, reveal /$gk: [[apkaluptein]]$/ | (p c), who (or) which is uncovers, is bare	812a	7	2009-09-14	2010-06-01	vagrant	vagrant	829b-830b		{"1": "reveal"}			73; 614; 1780	37; 832	2615			
28	(S,B) bal (A,sA,F) bel	1	eye /$gk: [[ofqalmos, omma]]$/	31b	6	2009-09-14	2010-01-24	vagrant	vagrant	19a		{"1": "eye"}			93; 30; 458; 223; 1427; 424; 29				anatomy	
29	(S) maaJe (A,F) meeJe (F) meJe,mhJi (sA) meSte (Sa) meSt (B) maSJ (NH) meSJe *^<a href=extcodex I - The Prayer of the Apostle Paul;101;1;27;petempemeSJe narxwn satmeF;codex I - The Apocryphon of James;102;15;10;answtm Hrhei Hn nenmeSJe;codex I - The Apocryphon of James;102;15;18;answtm Hrhi Hn nenmeSJe aHnHumnos">Ext</a>^*,maJe *^<a href="ext codex II - The Gospel of Thomas;107;44;9;peteum maJe mmoF mareFswtm;codex III - The Gospel of the Egyptians;114;68;9;mpepeumaJe swtm eroF">Ext</a>^*"	1	ear /$gk: [[ous, wtion]]$/ | (as) handle (of basket)	212b	6	2009-09-14	2011-01-05	vagrant	vagrant	140a-140b		{"1": "ear", "2": "(as handle of basket)"}			28				anatomy	
30	(S,B) nau (sA,F) neu (A,sA) no (Sa) nw (O) naou (S,B) **anau (sA,F) **aneu (A) **eno	2	{intr:} look, behold |$ (no obj) /$gk: [[oran, idein, blepein]]$/ |$$ (with [Je-]), see that, how |$ (c [e-], sometimes + ethic dat) |$ (with [e-]) dat commodi |$$ provide, seek out	233b	7	2009-09-14	2010-04-07	vagrant	vagrant	194b-195a		{"1": "look"}			458; 223; 1427; 28; 1154		210; 629			
31	(S,A,sA,O) noute (B,F) nouT (A) nounte (B,F) fT *^i e [fnouT]^* (S,NH) nT,*^in^* pnT *^<a href=ext Gospel of Judas;824;7;21;petmmau pe pnT etetnSmSe naF;Apocryphon of John;821;32;3;auJwk ebol HitotF mpepna mpnT nautogenhs nSa eneH pShre ntbarbhlw">Ext</a>^*"	22	god /$gk: [[qeos]]$/ | (as adj), godly, divine /$gk: [[qeios]]$/	230b	6	2009-09-14	2011-02-15	vagrant	vagrant	219b-220b		{"1": "god", "2": "divine"}			21			C9201	person	
32	(S,A,B,F,O) hi (S,A,sA) hei (A,B,F) *hou	1	house /$gk: [[oikos, oikia]]$/ | household, family /$gk: [[oikos, oikia]]$/	66a	6	2009-09-14	2010-01-26	vagrant	vagrant	53a		{"1": "house", "2": "household, family"}			1339		686		construction	
33	(B) ouon (F) ouan (S,A,sA,O) oun- (S,sA) ounte- (S,B) ouonte- (F) ouante- (S) ounta= (S,A,sA) ount$^e^$= (sA) ounth= (B) ouonta= (F) ouanth=	2	(vb), be |$ (without other vb) |$$ /$gk: [[einai]]$/ |$$ have /$gk: [[exein, agein]]$/ |$ (double suff S,A,sA /*as with [mmn-]*/) |$ (with following [nte-]) |$ (with [mmo=] of person or thing having S,A,B) |$ (with [n-] dat S,A,B) |$ (with [mmau] S,A,sA,B,F) | (auxil to other vb) | (with [e-], verbal)	481a	8	2009-09-14	2010-08-05	vagrant	vagrant	256a-257a		{"1": "be"}				1063				
34	(S,A,sA,B,F) ouwH (A) ouHw (B) ouoH,ouaH (S,B) oueH- (S,A,F) ouwH- (A,B,F,O) ouaH- (B) baH- (S,A,sA,B,F) ouaH= (A) ouHa= (F) oueH= (S,A,sA) ouhH+ (S) ouhhH+ (A) ouHh+ (B,F) oueH+ (S) ^ouaH- (S) **auw (A) **aou *^for [aouwH]^* (B) **ouoH	2	put, set, be /*there*/ |$ {intr:} (S,B,F) |$ {tr:} /$gk: [[epitiqenai]]$/ | | {intr:} be placed, dwell /$gk: [[katoikein, kataskhnoun, menein]]$/	505b	7	2009-09-14	2012-04-06	vagrant	vagrant	280b-281b,281b-282a,242a-243a,243a		{"1": "put, set, be"}			13; 1672; 2096; 1331; 1105 #drv880; 891 pole		1765			
35	(S,O) eoou (A,sA,F) eau (B,O) wou	1	honour, glory /$gk: [[doja]]$/	62a	6	2009-09-14	2010-01-26	vagrant	vagrant	530a-530b		{"1": "glory"}			247				concept	
36	(S) SaJe (Sa,A,sA) SeJe (sA) seJe (B) saJi (F) seJi	2	{intr:} speak /$gk: [[lalein, legein]]$/ | {tr:} (A,B), speak, say /$gk: [[lalein, ereugesqai]]$/	612b	8	2009-09-14	2010-08-11	vagrant	vagrant	347b-350b		{"1": "speak"}			39; 42; 113; 60; 2045; 1924; 2031; 239 #drv1416					
37	(S,A,sA,B,F) Hwp (NH) kwp *^<a href=ext codex II - The Hypostasis of the Archons;109;90;22;aeirHote Je neeikhkaHhu auw aeikwp;codex II - The Hypostasis of the Archons;109;90;24;peJe parxwn Je etbe ou akkwp;codex II - On the Origin of the World;110;119;25;aukwp Ha nShn etHm paradeisos;codex II - On the Origin of the World;110;119;28;etbe tetnHrte de aHikwp ntariSipe;codex IX - The Testimony of Truth;142;46;19;adam de nau eroF aFkwp">Ext</a>^* (S,B) Hep- (sA,F) Hap- (S,A,sA) Hwp- (S,B) Hop= (A,sA,F) Hap= (S,A,sA,B,F) Hhp+"	2	{intr:} be hidden, hide /$gk: [[lanqanein, kruptein]]$/ | {qual:} /$gk: [[krufaios, apokrufos]]$/ | {tr:}  /$gk: [[kruptein]]$/	695a	7	2009-09-14	2012-03-01	vagrant	vagrant	721b-722a,696a,669a		{"1": "hide"}			832; 301; 79; 1027	27; 73	120; 2230; 2120; 312			
38	(S,sA,F) wnH (Sf,F) wnaH (A) wnQ (sA) wwnH (B,O) wnK (B) onK= (S,Sf) on$^a^$H+ (A) anQ+ (Sa,sA) anH+ (sA) aanH (B) onK+ (F) anaH+,an$^e^$H+	2	{intr:} live /$gk: [[zhn, zwopoiein]]$/ | {tr:} 	525a	8	2009-09-14	2010-08-08	vagrant	vagrant	529b-530a		{"1": "live"}			395; 544	1130; 118				
39	(S,sA,B,F,O) Jw (A,sA) Jou (sA) Jooue (S,A,sA,B,F) Je- (S,A,F) Ji (F) Ja- (S,sA) Joo= (S) Jit= (S) **Ji= (A,sA,O) Ji= (A) Jei= (sA,B) Jo= (B) Jot= (F) Ja$^a^$= (S) **aJi- (S,A,sA,F) **aJi= (A,sA,O) **eJi= (A) **eJei= (S,B,F) **aJe- (B) **aJo=,aJot= (S,sA) ^Jat-	2	{intr:} say, speak, tell /$gk: [[erein, anteipein]]$/ | {tr:} |$ /$gk: [[eipein, legein, lalein]]$/ |$ as for saying | | sing (/*same ?*/ S,A,sA,B,F) |$ {tr:}  /$gk: [[adein]]$/ |$ {intr:}  /$gk: [[adein, umnein]]$/	754a	7	2009-09-14	2010-05-31	vagrant	vagrant	770b-771b,736a-736b,755b,17a		{"1": "say, speak, tell", "2": "sing"}			42; 36; 113; 60; 365; 2280; 2590					
40	(S,sA) sHai (S) saHei (A) sQei,sQeei (sA) sHeei (S,F) sHht (B) sKai,sai (F) sHei,seiHei,seiH,sHe,sei,set (S) sHai-,seH- (sA) saH- (A) sQei- (B) sKe-,sKht-,sht- (F) sHe-,sHh-,sh-,sHet-,set-,sht- (S) sHais=,sHait=,saH=,sHa$^e^$i=,saHt=,seHt= (A) saQ=,sQeit= (sA) saH= (B) sKht= (F) sHet=,sHht=,set= (S,sA) shH+ (A) shQ+ (B) sKhout+ (F) sHhout+	2	{intr:} write /$gk: [[grafein]]$/ | {tr:} |$ /$gk: [[grafein, zwgrafein, diagrafein]]$/ |$ register |$ draw, paint	381b	7	2009-09-14	2010-04-10	vagrant	vagrant	423b-425b,343a,343b-344a,344a		{"1": "write", "2": "register", "3": "draw, paint"}			1912					
