page	start	end
625	ϥⲱⲧⲉ	ϥⲱϭⲉ
626	ϥⲱϭⲉ	ϥⲱϭⲉ
627	ϥⲱϭⲉ	ϥⲱϭⲉ
628	ⳉ	ⳉⲣⲟⲩⲟ
629	ⳉⲣϣⲓⲣⲉ	ϧⲁ
630	ϧⲁⲓ	ϧⲉⲛⲓ
631	ϧⲁⲓⲟⲣ	ϩ
632	ϩⲁ	ϩⲁ
633	ϩⲁ	ϩⲁ
634	ϩⲁ	ϩⲁ
635	ϩⲁ	ϩⲁⲉ
636	ϩⲁⲏ	ϩⲁⲉⲓⲟ
637	ϩⲉ	ϩⲉ
638	ϩⲉ	ϩⲉ
639	ϩⲉ	ϩⲉ
640	ϩⲉ	ϩⲏ
641	ϩⲏ	ϩⲏ
642	ϩⲏ	ϩⲏ
643	ϩⲏ	ϩⲓ
644	ϩⲓ	ϩⲓ
645	ϩⲓⲉ	ϩⲓⲉ
646	ϩⲓⲏ	ϩⲟ
647	ϩⲟ	ϩⲟ
648	ϩⲟ	ϩⲟ
649	ϩⲟ	ϩⲟ
650	ϩⲟ	ϩⲟⲓ
651	ϩⲟⲓ	ϩⲱⲱ
652	ϩⲁⲁⲃ	ϩⲱⲃ
653	ϩⲱⲃ	ϩⲱⲃ
654	ϩⲱⲃ	ϩⲱⲃ
655	ϩⲱⲃ	ϩⲓⲃⲱⲓ
656	ϩⲱⲃⲓ	ϩⲃⲟⲩⲣ
657	ϩⲃⲟⲣⲃⲣ	ϩⲃⲥ
658	ϩⲏⲃⲥ	ϩⲱⲃⲥ
659	ϩⲱⲃⲥ	ϩⲱⲃⲥ
660	ϩⲟⲃⲥⲧ	ϩⲁⲕ
661	ϩⲁⲕ	ϩⲱⲱⲕ
662	ϩⲱⲕ	ϩⲱⲱⲕⲉ
663	ϩⲕⲟ	ϩⲕⲟ
664	ϩⲁⲕⲗϥ	ϩⲁⲗ
665	ϩⲁⲗ	ϩⲱⲗ
666	ϩⲱⲗ	ϩⲱⲗ
667	ϩⲱⲗ	ϩⲗⲓ
668	ϩⲁⲗⲃ	ϩⲗⲟⲗ
669	ϩⲗⲟⲩⲗ	ϩⲗⲗⲟ
670	ϩⲁⲗⲱⲗⲓ	ϩⲉⲗⲙⲏ
671	ϩⲗⲟⲙⲗⲙ	ϩⲁⲗⲏⲧ
672	ϩⲗⲁϯ	ϩⲱⲗϭ
673	ϩⲱⲗϭ	ϩⲁⲙ
674	ϩⲁⲙ	ϩⲱⲙ
