key	word	type	cz	en	gr	crum	quality	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	dawoud-pages	crum-last-page	quality-parsed	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	key-next	key-prev	crum-pages	derivations-table	derivations-list
3049	(B) ritiqi	1	(zodiacal sign) Aquarius	(zodiacal sign) Aquarius		306a	6	0	2010-02-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/3049.html	(B) ⲣⲓⲧⲓⲑⲓ	(B) ⲣⲓⲧⲓⲑⲓ	ⲣⲓⲧⲓⲑⲓ	(B) ⲣⲓⲧⲓⲑⲓ (ⲡ)			complete	noun male		<i>zodiacal sign</i> Aquarius	<i>zodiacal sign</i> Aquarius	<i>zodiacal sign</i> Aquarius	<i>zodiacal sign</i> Aquarius	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=306a						ⲣⲓⲧⲓⲑⲓ (ⲡ)					3050	3048	306		
3050	(S) raSreS	2	{intr:} (meaning unknown)	{intr:} (meaning unknown)		310a	6	0	2010-02-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/3050.html	(S) ⲣⲁϣⲣⲉϣ	(S) ⲣⲁϣⲣⲉϣ	ⲣⲁϣⲣⲉϣ	(S) ⲣⲁϣⲣⲉϣ			complete	verb		<b>intr:</b> <i>meaning unknown</i>	<b>intr:</b> <i>meaning unknown</i>	<b>intr:</b> <i>meaning unknown</i>	<b>intr:</b> <i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=310a	ⲣⲁϣⲣⲉϣ										3051	3049	310		
3051	(B) soi	1	(among trees, between [amisi] & [ramnos])	(among trees, between [amisi] & [ramnos])		318a	6	0	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/3051.html	(B) ⲥⲟⲓ	(B) ⲥⲟⲓ	ⲥⲟⲓ	(B) ⲥⲟⲓ (ⲡ)			complete	noun male		<i>among trees, between ⲁⲙⲓⲥⲓ & ⲣⲁⲙⲛⲟⲥ</i>	<i>among trees, between ⲁⲙⲓⲥⲓ & ⲣⲁⲙⲛⲟⲥ</i>	<i>among trees, between ⲁⲙⲓⲥⲓ & ⲣⲁⲙⲛⲟⲥ</i>	<i>among trees, between ⲁⲙⲓⲥⲓ & ⲣⲁⲙⲛⲟⲥ</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=318a						ⲥⲟⲓ (ⲡ)					3052	3050	318		
3052	(S) sbe	3	(meaning unknown)	(meaning unknown)		321b	6	0	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/3052.html	(S) ⲥⲃⲉ	(S) ⲥⲃⲉ	ⲥⲃⲉ	(S) ⲥⲃⲉ (noun)			complete	noun		<i>meaning unknown</i>	<i>meaning unknown</i>	<i>meaning unknown</i>	<i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=321b	ⲥⲃⲉ (noun)										3053	3051	321		
3053	(S) sbbe	1	(meaning unknown, part of property bequeathed)	(meaning unknown, part of property bequeathed)		322a	6	0	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/3053.html	(S) ⲥⲃⲃⲉ	(S) ⲥⲃⲃⲉ	ⲥⲃⲃⲉ	(S) ⲥⲃⲃⲉ (ⲡ)			complete	noun male		<i>meaning unknown, part of property bequeathed</i>	<i>meaning unknown, part of property bequeathed</i>	<i>meaning unknown, part of property bequeathed</i>	<i>meaning unknown, part of property bequeathed</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=322a	ⲥⲃⲃⲉ (ⲡ)										3054	3052	322		
3054	(F) sid	3	(meaning unknown)	(meaning unknown)		324b	6	0	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/3054.html	(F) ⲥⲓⲇ	(F) ⲥⲓⲇ	ⲥⲓⲇ	(F) ⲥⲓⲇ (noun)			complete	noun		<i>meaning unknown</i>	<i>meaning unknown</i>	<i>meaning unknown</i>	<i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=324b							ⲥⲓⲇ (noun)				3055	3053	324		
3055	(S) *sek	3	(meaning unknown)	(meaning unknown)		325a	6	0	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/3055.html	(S) <i>plural: </i>ⲥⲉⲕ	(S) <i>plural: </i>ⲥⲉⲕ	ⲥⲉⲕ (ⲛ)	(S) ⲥⲉⲕ (ⲛ)			complete	noun		<i>meaning unknown</i>	<i>meaning unknown</i>	<i>meaning unknown</i>	<i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=325a	ⲥⲉⲕ (ⲛ)										3056	3054	325		
3056	(S) skmkim	1				329a	6	0	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/3056.html	(S) ⲥⲕⲙⲕⲓⲙ	(S) ⲥⲕⲙⲕⲓⲙ	ⲥⲕⲙⲕⲓⲙ	(S) ⲥⲕⲙⲕⲓⲙ (ⲡ)			complete	noun male						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=329a	ⲥⲕⲙⲕⲓⲙ (ⲡ)										3057	3055	329		
3057	(S) sikhHe	2	{tr:} (meaning unknown)	{tr:} (meaning unknown)		330a	6	0	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/3057.html	(S) ⲥⲓⲕⲏϩⲉ	(S) ⲥⲓⲕⲏϩⲉ	ⲥⲓⲕⲏϩⲉ	(S) ⲥⲓⲕⲏϩⲉ			complete	verb		<b>tr:</b> <i>meaning unknown</i>	<b>tr:</b> <i>meaning unknown</i>	<b>tr:</b> <i>meaning unknown</i>	<b>tr:</b> <i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=330a	ⲥⲓⲕⲏϩⲉ										3058	3056	330		
3058	(B) sili	4	(meaning uncertain)	(meaning uncertain)		330b	6	0	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/3058.html	(B) ⲥⲓⲗⲓ	(B) ⲥⲓⲗⲓ	ⲥⲓⲗⲓ	(B) ⲥⲓⲗⲓ (ⲧ)			complete	noun female		<i>meaning uncertain</i>	<i>meaning uncertain</i>	<i>meaning uncertain</i>	<i>meaning uncertain</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=330b						ⲥⲓⲗⲓ (ⲧ)					3059	3057	330		
3059	(B) *silouki	3	(meaning unknown)	(meaning unknown)		330b	6	0	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/3059.html	(B) <i>plural: </i>ⲥⲓⲗⲟⲩⲕⲓ	(B) <i>plural: </i>ⲥⲓⲗⲟⲩⲕⲓ	ⲥⲓⲗⲟⲩⲕⲓ (ⲛ)	(B) ⲥⲓⲗⲟⲩⲕⲓ (ⲛ)			complete	noun		<i>meaning unknown</i>	<i>meaning unknown</i>	<i>meaning unknown</i>	<i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=330b						ⲥⲓⲗⲟⲩⲕⲓ (ⲛ)					3060	3058	330		
