key	dawoud-pages	dawoud-pages-redone
1519	400b	
1388	400b	
1126	401a	
1389	401a	
127	401a-401b	
1370	401b	
282	401b-402b	
1385	402b-403a	
1371	403a	
938	403a-403b	
49	403b-407a,407a	
1399	407a-407b	
3062		
898	407b-408a	
1403	407b	
1417	408a-408b	
482	408b,384a	
1439	409a	
284	409a-409b	
1445	409b	
1446	409b-410a	
931	410a-410b	
1509	410b	
55	410b-411b	
929	412a-413a	
361	413a-413b	
1517	413b-414a,414a	
1453	414a	
1454	414a	
1455	414a	
1375	414a-414b	
1147	414b-415a,415a-415b	
345	415b-416b	
1541	416b	
3082	416b	
1482	416b	
1490	417a	
1491	417a	
149	417a-418a	
1502	418a	
89	418a-418b	
1506	418b-419a	
3071		
152	419b	
735	419a-419b	
1525	613b,420a	
487	420a	
1529	420a	
1537	420a-420b,420b	
1538	420b	
335	420b-421a	
1533	421a	
261	421a	
1539	345a	
1540	421a	
309	421b-422a	
1925	593b,601b,584b	
1549	422a	
4	422b-423a	
451	423a-423b	
3099		
40	423b-425b	
1534	425b	
143	425b-426a	
233	426b	
1554	427a-427b	
1656	427b	
1574	428a	
3105		
1578	428a	
247	428b-429b	
1556	428a	
1565	428a,58b,57a	
199	429b-430b	
1582	430b-431a	
343	431a-432b	
24	433a-433b	
3115	433b	
1594	433b-434b	
1605	434a-434b	
395	434b	
113	435a-435b,435b-436b,436b	
1613	436b	
3120		
126	437a	
3119	437a	
1618	437a	
1642	437b	
973	437b	
3122		
1626	437b	
1639	437b-438a	
384	438a-439a	
1648	439a	
3126	439a	
461	439a	
1663	439b	
3128		
3130		
1673	439b-440a	
3131		
3133		
1687	440a-440b	
228	440b-441a,441a-441b,441b,441b,441b-442a,442a-442b	
1692	439a-439b,442b	
1696	443a	
402	443a	
184	443a-444b	
1571	445a	
1566	445b	
1567	445b	
1573	445b	
712	445b	
52	446a	
465	446b	
1590	446b	
1599	446b	
1598	447a	
1603	447a-447b	
1609	448a	
1611	448a-448b	
396	448b-449a	
