αγανακτειν,/,ɑgɑnɑktein,/,→,ajanaktein,aganaktein,فعل,/,صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول ,يوناني,/,يغيظ,يغضب,يسخط,يغتاظ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγανακτηςις,/,ɑgɑnɑkti:sis,/,→,ajanaktysis,aganaktysis,اسم,/,مؤنث,يوناني,/,غيظ,حنق,غضب,سخط,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγαπαν,/,ɑgɑpɑn,/,→,ajapan,agapan,فعل,/,صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول ,يوناني,/,يحب,يود,يعز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγαπη ,/,ɑgɑpiː ,/,→,ajapy ,agapy ,اسم,/,مؤنث,يوناني,/,محبة,وليمة محبة,حب,مودة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγαπητος,/,ɑgɑpiːtos,/,→,ajapytos,agapytos,اسم,/,مذكر,يوناني,/,حبيب,محبوب,محب,عزيز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγγειον,/,ɑngeion,/,→,ajjeion,angeion,اسم,/,مذكر,يوناني,/,وعاء   ,إناء,دورق,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγγελειν,/,ɑngelein,/,→,ajjelein,angelein,فعل,/,صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول ,يوناني,/,يخبر,يعلن,يذيع,ينبيء,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγγελια,/,ɑngeliɑ,/,→,ajjelia,angelia,اسم,/,مؤنث,يوناني,/,خبر,إعلان,رسالة,نبأ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγγελικενος,/,ɑngelikenos,/,→,ajjelikenos,angelikenos,صفة,/,,يوناني,/,انجليزي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγγελικη,/,ɑngelikiː,/,→,ajjeliky,angeliky,اسم,/,مؤنث,يوناني,/,ملائكية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγγελικον,/,ɑngelikon,/,→,ajjelikon,angelikon,اسم,/,مذكر,يوناني,/,ملائكي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγγελικος,/,ɑngelikos,/,→,ajjelikos,angelikos,اسم,/,مذكر,يوناني,/,ملائكي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγγελος,/,ɑngelos,/,→,ajjelos,angelos,اسم,/,مذكر,يوناني,/,ملاك,رسول,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγγην,/,ɑnʒiːn,/,→,ajjyn,angyn,اسم,/,مذكر,يوناني,/,إناء,وعاء,قدرة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγγεν,/,ɑngen,/,→,ajjen,angen,اسم,/,مذكر,يوناني,/,إناء,وعاء,قدرة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγγεος,/,ɑngeos,/,→,ajjeos,angeos,اسم,/,,"يوناني ، عبري",/,حجي,نبوة حجي,أحد الأنبياء الصغار,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγγειον,/,ɑngeion,/,→,ajjeion,angeion,اسم,/,مذكر,يوناني,/,وعاء للزيت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγγια,/,ɑngiɑ,/,→,ajjia,angia,اسم,/,مذكر,يوناني,/,وعاء للزيت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγε ,/,ɑge ,/,→,aje ,age ,فعل,/,أمر,يوناني,/,هيا,هلم,فعل أمر للمفرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγελι,/,ɑgeli,/,→,ajeli,ageli,اسم,/,مؤنث,يوناني,/,قطيع خنازير,قطيع مواشي كبيرة,جماعة,لمة,جمعية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
