Matthew,1,24,ⲉⲧⲁϥⲧⲱⲛϥ ⲇⲉ ⲛϫⲉⲓⲱⲥⲏⲫ ⲉⲃⲟⲗ ϧⲉⲛⲡⲓⲛⲕⲟⲧ ⲁϥⲓⲣⲓ ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲁ ⲡⲓⲁⲅⲅⲉⲗⲟⲥ ⲛⲧⲉⲡϭⲟⲓⲥ ⲟⲩⲁϩⲥⲁϩⲛⲓ ⲛⲁϥ ⲟⲩⲟϩ ⲁϥϣⲉⲡ ⲙⲁⲣⲓⲁ ⲧⲉϥⲥϩⲓⲙⲓ ⲉⲣⲟϥ.
Matthew,1,25,ⲟⲩⲟϩ ⲙⲡⲉϥⲥⲟⲩⲱⲛⲥ ϣⲁⲧⲉⲥⲙⲓⲥⲓ ⲙⲡⲓϣⲏ ⲣⲓ ⲟⲩⲟϩ ⲁϥⲙⲟⲩϯ ⲉⲡⲉϥⲣⲁⲛ ϫⲉ ⲓⲏⲥⲟⲩⲥ.
Matthew,2,1,ⲓⲏⲥⲟⲩⲥ ⲇⲉ ⲉⲧⲁⲩⲙⲁⲥϥ ϧⲉⲛⲃⲏⲑⲗⲉⲉⲙ ⲛⲧⲉϯⲓⲟⲩⲇⲉⲁ ϧⲉⲛⲛⲓⲉϩⲟⲟⲩ ⲛⲧⲉⲏⲣⲱⲇⲏⲥ ⲡⲟⲩⲣⲟ ϩⲏⲡⲡⲉ ⲓⲥ ϩⲁⲛⲙⲁⲅⲟⲥ ⲁⲩⲓ ⲉⲃⲟⲗ ⲥⲁⲡⲉⲓⲉⲃⲧ ⲉⲓⲉⲣⲟⲥⲁⲗⲏⲙ.
Matthew,2,2,ⲉⲩϫⲱ ⲙⲙⲟⲥ ϫⲉ ⲁϥⲑⲱⲛ ⲫⲏ ⲉⲧⲁⲩⲙⲁⲥϥ ⲡⲟⲩⲣⲟ ⲛⲧⲉⲛⲓⲓⲟⲩⲇⲁⲓ ⲁⲛⲛⲁⲩ ⲅⲁⲣ ⲉⲡⲉϥⲥⲓⲟⲩ ⲥⲁⲡⲉⲓⲉⲃⲧ ⲁⲛⲓ ϫⲉ ⲛⲧⲉⲛⲟⲩⲱϣⲧ ⲙⲙⲟϥ.
Matthew,2,3,ⲉⲧⲁϥⲥⲱⲧⲉⲙ ⲇⲉ ⲛϫⲉⲡⲟⲩⲣⲟ ⲏⲣⲱⲇⲏⲥ ⲁϥϣⲑⲟⲣⲧⲉⲣ ⲛⲉⲙ ⲓⲉⲣⲟⲥⲁⲗⲏⲙ ⲧⲏⲣⲥ ⲛⲉⲙⲁϥ.
Matthew,2,4,ⲟⲩⲟϩ ⲉⲧⲁϥⲑⲱⲟⲩϯ ⲛⲛⲓⲁⲣⲭⲓⲉⲣⲉⲩⲥ ⲧⲏⲣⲟⲩ ⲛⲉⲙ ⲛⲓⲥⲁϧ ⲛⲧⲉⲡⲓⲗⲁⲟⲥ ⲛⲁϥϣⲓⲛⲓ ⲛⲧⲟⲧⲟⲩ ϫⲉ ⲁⲩⲛⲁⲙⲉⲥ ⲡⲭⲣⲓⲥⲧⲟⲥ ⲑⲱⲛ.
Matthew,2,5,ⲛⲑⲱⲟⲩ ⲇⲉ ⲡⲉϫⲱⲟⲩ ⲛⲁϥ ϫⲉ ϧⲉⲛⲃⲏⲑⲗⲉⲉⲙ ⲛⲧⲉϯⲓⲟⲩⲇⲉⲁ ⲡⲁⲓⲣⲏϯ ⲅⲁⲣ ⲉⲧⲥϧⲏⲟⲩⲧ ⲉⲃⲟⲗ ϩⲓⲧⲟⲧϥ ⲙⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ.
Matthew,2,6,ϫⲉ ⲛⲉⲙ ⲛⲑⲟ ϩⲱⲓ ⲃⲏⲑⲗⲉⲉⲙ ⲡⲕⲁϩⲓ ⲛⲓⲟⲩⲇⲁ ⲛⲑⲟ ⲟⲩⲕⲟⲩϫⲓ ⲁⲛ ϧⲉⲛⲛⲓⲙⲉⲧϩⲏⲅⲉⲙⲱⲛ ⲛⲧⲉⲓⲟⲩⲇⲁ ⲉϥⲉⲓ ⲅⲁⲣ ⲉⲃⲟⲗ ⲛϧⲏϯ ⲛϫⲉⲟⲩϩⲏⲅⲟⲩⲙⲉⲛⲟⲥ ⲫⲏ ⲉⲑⲛⲁⲁⲙⲟⲛⲓ ⲙⲡⲁⲗⲁⲟⲥ ⲡⲓⲥⲗ.
Matthew,2,7,ⲧⲟⲧⲉ ⲏⲣⲱⲇⲏⲥ ⲁϥⲙⲟⲩϯ ⲉⲛⲓⲙⲁⲅⲟⲥ ⲛⲭⲱⲡ ⲁϥϧⲟⲧϧⲉⲧ ⲛⲧⲟⲧⲟⲩ ⲛⲥⲁⲡⲓⲥⲏⲟⲩ ⲛⲧⲉⲡⲓⲥⲓⲟⲩ ⲉⲧⲁϥⲟⲩⲱⲛϩ.
Matthew,2,8,ⲟⲩⲟϩ ⲁϥⲟⲩⲟⲣⲡⲟⲩ ⲉⲃⲏⲑⲗⲉⲉⲙ ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉ ⲙⲁϣⲉ ⲛⲱⲧⲉⲛ ϣⲓⲛⲓ ⲁⲕⲣⲓⲃⲱⲥ ⲉⲑⲃⲉ ⲡⲓⲁⲗⲟⲩ ⲉϣⲱⲡ ⲇⲉ ⲛⲧⲉⲧⲉⲛϫⲉⲙϥ ⲙⲁⲧⲁⲙⲟⲓ ϩⲓⲛⲁ ⲛⲧⲁⲓ ϩⲱ ⲛⲧⲁⲟⲩⲱϣⲧ ⲙⲙⲟϥ.
